FID,id,secteur,commune,antenne_mairie,adresse,perimetre_pave,type_dechet_code,type_dechet,type_conteneur_code,type_conteneur,volume_m3,marque,modele,modele_info_sup,type_avaloir,type_collecteur,nom_collecteur,etat,etat_info_sup,date_info_etat,date_instal_conteneur_sup,type_installation,date_renouvellement_materiel,x_longitude,y_latitude,geom
v_opendata_ctd_pav_tous.fid-5cc9af37_1758a54c4ca_-6b54,1114,Sud,Bresson,,Eglise (Parking) / Rue de l'Eglise,,VER,verre,CA,aérien,3,SNNECO,Eco-DI,Lattes horizontales,,Prestataire,Lely,Bon,SNNECO_Eco-DI_3_A_k,,,,,5.75056,45.13637,POINT (5.750561988083536 45.13636620519309)
v_opendata_ctd_pav_tous.fid-5cc9af37_1758a54c4ca_-6b4b,1112,Sud,Bresson,,L'Oratoire / 3-5 Rue de l'Oratoire / Réservoirs ville de Grenoble,,VER,verre,CA,aérien,3,SNNECO,Eco-DI,,,Prestataire,Lely,Bon,SNNECO_Eco-DI_3_A_k,,,,,5.74168,45.13858,POINT (5.741679909939171 45.138577702278)
v_opendata_ctd_pav_tous.fid-5cc9af37_1758a54c4ca_-6b4a,1113,Sud,Bresson,,Restaurant / 2 Rue Emile Chavant,,VER,verre,CA,aérien,3,SNNECO,Eco-DI,,,Prestataire,Lely,Bon,SNNECO_Eco-DI_3_A_k,,,,,5.75026,45.1383,POINT (5.750259215479642 45.13829655766435)
v_opendata_ctd_pav_tous.fid-5cc9af37_1758a54c4ca_-6b28,1265,Sud,Bresson,,Eglise (Parking) / Rue de l'Eglise,,VER,verre,CA,aérien,3,SNNECO,Eco-DI,Lattes verticales,,Prestataire,Lely,Bon,SNNECO_Eco-DI_3_A_k,,20-10-17,Ajout colonne supplémentaire,,5.7506,45.13638,POINT (5.750598427768187 45.13638533269409)
v_opendata_ctd_pav_tous.fid-5cc9af37_1758a54c4ca_-6b19,1264,Sud,Bresson,,L'Oratoire / 3-5 Rue de l'Oratoire / Réservoirs ville de Grenoble,,VER,verre,CA,aérien,3,SNNECO,Eco-DI,,,Prestataire,Lely,Bon,SNNECO_Eco-DI_3_A_k,,20-10-17,Ajout colonne supplémentaire,,5.74172,45.13859,POINT (5.741721375294936 45.13858948193976)
v_opendata_ctd_pav_tous.fid-5cc9af37_1758a54c4ca_-6b05,1278,Sud,Bresson,,Rue de la République / Chemin des Saules,,VER,verre,CA,aérien,0,STCM,Polytri,,,Prestataire,Lely,Bon,__0_A_,,12-03-18,,,5.74869,45.13796,POINT (5.748685731660785 45.13795661766166)
v_opendata_ctd_pav_tous.fid-5cc9af37_1758a54c4ca_-6a34,1116,Sud,Bresson,,Golf / Club-Restaurant (accès cuisines),,VER,verre,CA,aérien,4,SNNECO,Eco-Bois,,,Prestataire,Lely,Sale,SNNECO_Eco-Bois_4_A_k,,,,,5.75647,45.12757,POINT (5.756469138774251 45.127567783704905)
v_opendata_ctd_pav_tous.fid-5cc9af37_1758a54c4ca_-6a33,1115,Sud,Bresson,,Golf / Route d'accès (accès par route D112 en provenance de Brié ou Jarrie),,VER,verre,CA,aérien,4,SNNECO,Eco-Bois,,,Prestataire,Lely,Sale,SNNECO_Eco-Bois_4_A_k,,,,,5.76331,45.1286,POINT (5.763311950050845 45.12859897017043)
v_opendata_ctd_pav_tous.fid-5cc9af37_1758a54c4ca_-6a32,3013,Sud,Bresson,,L'Oratoire / 3-5 Rue de l'Oratoire / Réservoirs ville de Grenoble,,EMB,emballages,CA,aérien,4,STCM,Polytri,Trappe coulissante,,Prestataire,Lely,Bon,,,,,????-??-??,5.74158,45.13858,POINT (5.741581945412015 45.13858166455013)
v_opendata_ctd_pav_tous.fid-5cc9af37_1758a54c4ca_-6a31,3155,Sud,Bresson,,ZA Condamines / 1 Rue des Condamines,,EMB,emballages,CA,aérien,4,Nord Engineering,New Easy City,modèle avec trappe et pédale,,Prestataire,Lely,Bon,,,14-06-18,Colonne Emballages supplémentaire sur site pré-existant,,5.73965,45.14275,POINT (5.739650638870834 45.142751108745074)
v_opendata_ctd_pav_tous.fid-5cc9af37_1758a54c4ca_-6a30,1111,Sud,Bresson,,ZA Condamines / 1 Rue des Condamines,,VER,verre,CA,aérien,3,SNNECO,Eco-DI,,,Prestataire,Lely,Bon,SNNECO_Eco-DI_3_A_k,,,,,5.73968,45.14277,POINT (5.73967617580309 45.142767768886564)
v_opendata_ctd_pav_tous.fid-5cc9af37_1758a54c4ca_-6868,3012,Sud,Bresson,,ZA Condamines / 1 Rue des Condamines,,EMB,emballages,CA,aérien,0,Nord Engineering,New Easy City,"Nord-Engineering, kinshofer",,Prestataire,Lely,Bon,,,,,21-12-17,5.73963,45.14274,POINT (5.739626138117229 45.14273469931625)
v_opendata_ctd_pav_tous.fid-5cc9af37_1758a54c4ca_-669c,2015,Sud,Bresson,,L'Oratoire / 3-5 Rue de l'Oratoire / Réservoirs ville de Grenoble,,PAP,papier,CA,aérien,4,SNNECO,Eco-DI,,,Prestataire,Lely,Bon,,,,,,5.74166,45.13858,POINT (5.74162291011186 45.138579066042595)
v_opendata_ctd_pav_tous.fid-5cc9af37_1758a54c4ca_-6694,2014,Sud,Bresson,,Ecole / 38 Rue de la République,,PAP,papier,CA,aérien,5,SNNECO,Eco-Bois,,,Prestataire,Lely,Bon,,,,,,5.74275,45.14051,POINT (5.742751642976031 45.14050614792907)
v_opendata_ctd_pav_tous.fid-5cc9af37_1758a54c4ca_-6693,3015,Sud,Bresson,,Eglise (Parking) / Rue de l'Eglise,,EMB,emballages,CA,aérien,4,SNNECO,Eco-Bois,,,Prestataire,Lely,Bon,,,,,,5.75049,45.13632,POINT (5.750486082077288 45.13632537211496)
v_opendata_ctd_pav_tous.fid-5cc9af37_1758a54c4ca_-6692,2016,Sud,Bresson,,Eglise (Parking) / Rue de l'Eglise,,PAP,papier,CA,aérien,4,SNNECO,Eco-DI,bac du mêm type,,Prestataire,Lely,Bon,,,,,12-03-19,5.75047,45.13633,POINT (5.750523451317837 45.13634512918898)
v_opendata_ctd_pav_tous.fid-5cc9af37_1758a54c4ca_-6691,3156,Sud,Bresson,,L'Oratoire / 3-5 Rue de l'Oratoire / Réservoirs ville de Grenoble,,EMB,emballages,CA,aérien,5,STCM,Polytri,,,Prestataire,Lely,Bon,,,14-06-18,Colonne Emballages supplémentaire sur site pré-existant,,5.74154,45.13858,POINT (5.741537686394174 45.138583531602535)
v_opendata_ctd_pav_tous.fid-5cc9af37_1758a54c4ca_-6690,3016,Sud,Bresson,,Golf / Route d'accès (accès par route D112 en provenance de Brié ou Jarrie),,EMB,emballages,CA,aérien,4,SNNECO,Eco-Bois,,,Prestataire,Lely,Sale,,,,,,5.76315,45.12873,POINT (5.763154034134283 45.1287320360096)
v_opendata_ctd_pav_tous.fid-5cc9af37_1758a54c4ca_-668d,3014,Sud,Bresson,,Restaurant / 2 Rue Emile Chavant,,EMB,emballages,CA,aérien,5,SNNECO,Eco-Bois,,,Prestataire,Lely,Bon,,,,,,5.75022,45.13826,POINT (5.7502211555454785 45.138265212680686)
v_opendata_ctd_pav_tous.fid-5cc9af37_1758a54c4ca_-668c,3151,Sud,Bresson,,Rue de la République / Chemin des Saules,,EMB,emballages,CA,aérien,5,STCM,Polytri,,,Prestataire,Lely,Bon,,,12-03-18,Création nouveau site de collecte,,5.74864,45.13803,POINT (5.748635803421676 45.13803450601853)
v_opendata_ctd_pav_tous.fid-5cc9af37_1758a54c4ca_-668b,2132,Sud,Bresson,,Rue de la République / Chemin des Saules,,PAP,papier,CA,aérien,0,STCM,Polytri,,,Prestataire,Lely,Bon,,,12-03-18,"Création nouveau site de collecte / plateforme de tri (colonnes aériennes emballages, papier et verre)",,5.74866,45.138,POINT (5.74865460305899 45.137996075471)
v_opendata_ctd_pav_tous.fid-5cc9af37_1758a54c4ca_-668a,2013,Sud,Bresson,,ZA Condamines / 1 Rue des Condamines,,PAP,papier,CA,aérien,4,SNNECO,Eco-DI,,,Prestataire,Lely,Bon,,,,,,5.7396,45.14272,POINT (5.739601303748454 45.14271671318573)
v_opendata_ctd_pav_tous.fid-5cc9af37_1758a54c4ca_-6648,2018,Sud,Bresson,,Golf / Club-Restaurant (accès cuisines),,PAP,papier,CA,aérien,5,SNNECO,Eco-Bois,Trappe commerçants,,Prestataire,Lely,Sale,,,,,,5.75638,45.12751,POINT (5.756356596857648 45.12750592310287)
v_opendata_ctd_pav_tous.fid-5cc9af37_1758a54c4ca_-6647,2017,Sud,Bresson,,Golf / Route d'accès (accès par route D112 en provenance de Brié ou Jarrie),,PAP,papier,CA,aérien,4,SNNECO,Eco-DI,,,Prestataire,Lely,Usé,,,,,,5.76323,45.12866,POINT (5.763233303224468 45.128671956951415)
v_opendata_ctd_pav_tous.fid-5cc9af37_1758a54c4ca_-6c05,1117,Sud,Brié et Angonnes,,Parking Souveyron / Route de Montavie / Chemin de la Léchère,,VER,verre,CA,aérien,4,SNNECO,Eco-Bois,,,Prestataire,Lely,Sale,SNNECO_Eco-Bois_4_A_k,,,,,5.76874,45.13677,POINT (5.768739411406434 45.13676923839976)
v_opendata_ctd_pav_tous.fid-5cc9af37_1758a54c4ca_-6a2f,1122,Sud,Brié et Angonnes,,Caserne Pompiers / Route d'Uriage / Chemin des Broux,,VER,verre,CA,aérien,4,STCM,Polytri,,,Prestataire,Lely,Bon,STCM_Polytri_4_A_c,,,,03-11-16,5.78642,45.11404,POINT (5.786417986370468 45.11404270268987)
v_opendata_ctd_pav_tous.fid-5cc9af37_1758a54c4ca_-6a28,1120,Sud,Brié et Angonnes,,Ecole du Barlatier / Chemin du Barlatier (100m après école) / Chemin de Leva,,VER,verre,CE,enterré,0,Astech,,,,Prestataire,Lely,Bon,Astech__0_E_k,,,,,5.78526,45.11891,POINT (5.78525551633417 45.11891291519984)
v_opendata_ctd_pav_tous.fid-5cc9af37_1758a54c4ca_-6a27,1119,Sud,Brié et Angonnes,,Les Angonnes / Chapelle / 889 Route des Angonnes,,VER,verre,CE,enterré,4,Citec,,,,Prestataire,Lely,Usé,Citec__4_E_k,,,,,5.77719,45.13922,POINT (5.777189654871632 45.1392187662902)
